emp_no,first_name,last_name,title
10203,Steen,Escriba,Staff
10205,Mabhin,Leijenhorst,Senior Engineer
10207,Girolamo,Anandan,Senior Engineer
10215,Xiaobin,Duclos,Senior Staff
10217,Yongmin,Roison,Technique Leader
10219,Genta,Kolvik,Senior Staff
10224,Leon,Trogemann,Senior Engineer
10228,Karoline,Cesareni,Staff
10229,Ulises,Takanami,Engineer
10230,Clyde,Vernadat,Staff
10233,Lein,Vendrig,Staff
10237,Yannis,Mandell,Staff
10239,Nikolaos,Llado,Staff
10240,Remko,Maccarone,Engineer
10248,Frederique,Tempesti,Staff
10249,Marie,Boreale,Senior Engineer
10258,Basil,Ishibashi,Senior Engineer
10262,Mahendra,Maraist,Staff
10272,Yishai,Cannane,Staff
10278,Lubomir,Nitsch,Engineer
10281,Moty,Kusakari,Senior Engineer
10282,Hercules,Benzmuller,Engineer
10283,Kauko,Birjandi,Senior Engineer
10284,Masali,Murrill,Engineer
10286,Saddek,Gopalakrishnan,Staff
10294,Rutger,Miara,Senior Engineer
10295,Kristine,Velardi,Staff
10298,Dietrich,DuCasse,Staff
10302,Faiza,Baer,Staff
10305,Hirochika,Piancastelli,Engineer
10306,Heng,Kilgour,Staff
10307,Nikolaos,Leaver,Engineer
10321,Guenter,Ravishankar,Staff
10322,Isamu,Dahlbom,Senior Engineer
10325,Arunachalam,Badr,Senior Staff
10326,Masali,Czap,Staff
10327,Roded,Facello,Engineer
10328,Serenella,Kawashima,Engineer
10333,Snehasis,Dymetman,Senior Engineer
10340,Djelloul,Laventhal,Staff
10343,Dinah,Syrzycki,Senior Engineer
10347,Pradeep,Kaminger,Staff
10349,Oksana,Brodie,Staff
10350,Kristen,Kavvadias,Engineer
10353,Phule,Hammerschmidt,Senior Staff
10355,Satyanarayana,Cochrane,Staff
10356,Vasilis,Standera,Senior Staff
10358,Qunsheng,Tagansky,Technique Leader
10363,Toshiki,Muniz,Assistant Engineer
10364,Nakhoon,Dengi,Senior Engineer
10367,Hyuckchul,Gini,Staff
10372,Anneli,Frijda,Technique Leader
10374,Willard,Rosin,Staff
10377,Marl,Grospietsch,Senior Engineer
10382,Shirish,Dredge,Engineer
10387,Parto,Wrigley,Staff
10388,Hironoby,Kaiser,Staff
10389,Make,Peir,Technique Leader
10395,Takahiro,Deverell,Engineer
10396,Sibyl,Rahier,Senior Engineer
10397,Irena,Reutenauer,Technique Leader
10402,Volkmar,Ebeling,Technique Leader
10404,Prodip,Rosti,Senior Engineer
10407,Ulf,Siepmann,Senior Staff
10413,Danel,Impagliazzo,Staff
10414,Yinlin,Alpin,Senior Engineer
10418,Candida,Porotnikoff,Staff
10422,Greger,Rubsam,Engineer
10426,Arunas,Luce,Technique Leader
10429,Martien,Improta,Senior Engineer
10432,Hisao,Tiemann,Staff
10433,Reuven,Dengi,Engineer
10442,Volkmar,Unno,Staff
10443,Shichao,Litvinov,Senior Engineer
10451,Bodh,Ranta,Senior Engineer
10453,Tsvetan,Matzel,Staff
10463,Ung,Zaiane,Staff
10466,Jiakeng,Himler,Staff
10477,Guoxiang,Trogemann,Senior Engineer
10486,Amstein,Kossowski,Senior Engineer
10494,Yakkov,Servieres,Senior Engineer
10497,Pramod,Rabehasaina,Senior Engineer
10499,Maik,Luft,Staff
10503,Dannz,Pell,Engineer
10504,Xiong,Varker,Staff
10509,Abdelwaheb,Riesenhuber,Staff
10512,Udi,Gihr,Staff
10517,Tiina,Speek,Senior Staff
10519,Yonghoan,Alencar,Staff
10522,Marke,Cesareni,Staff
10529,Ymte,Yetto,Assistant Engineer
10531,Oguz,Gimbel,Staff
10538,Przemyslawa,Falby,Senior Engineer
10541,Godehard,Eiter,Staff
10542,Yannis,Couchot,Senior Engineer
10548,Ramalingam,Gunderson,Staff
10552,Kazuhito,Shiratori,Senior Engineer
10564,Jianhao,Thisen,Senior Engineer
10568,Gao,Poulakidas,Staff
10575,Theirry,Yeung,Senior Engineer
10586,Kirk,Vuskovic,Senior Engineer
10591,Hidde,Hettesheimer,Staff
10593,Falguni,Kenevan,Senior Engineer
10596,Sanjit,Coors,Staff
10603,Wayne,Restivo,Staff
10608,Adhemar,Talmor,Senior Engineer
10610,Irena,Roccetti,Engineer
10614,Gila,Ozeri,Senior Engineer
10615,Keung,Delgrande,Staff
10617,Hidekazu,Angel,Senior Staff
10623,Aleksander,Danlos,Senior Engineer
10624,Sham,Gyorkos,Technique Leader
10628,Krisda,Krogh,Senior Engineer
10629,Lalit,Francisci,Staff
10630,Bezalel,Katzenelson,Engineer
10631,Inderjeet,Chaudhuri,Engineer
10634,Nahid,Chepyzhov,Senior Engineer
10636,Saeko,Porotnikoff,Staff
10637,Heejo,Frolund,Staff
10639,Pramod,Erol,Senior Engineer
10641,Guozhong,Zucker,Engineer
10642,Hirochika,Narlikar,Engineer
10653,Otmar,Feinberg,Senior Engineer
10667,Makato,Cusworth,Senior Staff
10671,Parviz,Rebaine,Staff
10672,Bluma,Zeilberger,Senior Engineer
10676,Valeri,Danley,Engineer
10683,Guiseppe,Stranks,Senior Engineer
10693,Berhard,Daescu,Staff
10694,Rildo,Straney,Staff
10696,Unal,Fendler,Technique Leader
10702,Bader,Szemeredi,Senior Engineer
10712,Uma,Koprowski,Senior Engineer
10718,Adib,Rullman,Senior Engineer
10726,Zita,Minakawa,Senior Engineer
10731,Fumitaka,Peak,Staff
10734,Sachar,Erdi,Engineer
10741,Sven,Huttel,Staff
10742,Shim,Wiegley,Technique Leader
10745,Poorav,Ranze,Senior Engineer
10747,Falguni,Khalid,Senior Engineer
10749,King,Brendel,Senior Engineer
10750,Roddy,Demeyer,Technique Leader
10751,Jordanka,Ushiama,Engineer
10764,Yunming,Beetstra,Senior Engineer
10767,Monique,Doering,Staff
10768,Ishfaq,Candan,Senior Engineer
10777,Mizuhito,Kemmerer,Senior Engineer
10778,Selwyn,Merey,Senior Staff
10780,Goncalo,Staudhammer,Engineer
10782,Kish,Perna,Staff
10791,Tadahiko,Sgarro,Senior Engineer
10795,Supot,Naudin,Staff
10801,Uinam,Zschoche,Engineer
10803,Katsuyuki,Velasco,Senior Engineer
10808,Chenxi,Leijenhorst,Senior Engineer
10811,Ashish,Fortenbacher,Engineer
10813,Shalesh,Shumilov,Senior Staff
10814,Nidapan,Dymetman,Staff
10826,Arnd,Anandan,Senior Engineer
10827,Willard,Danley,Staff
10829,Alper,Narahara,Staff
10830,Fen,Fiebach,Staff
10831,Toong,Driscoll,Technique Leader
10833,Krisda,Gecseg,Technique Leader
10834,Huiqun,Rajcani,Engineer
10835,Tomoyuki,Kermarrec,Engineer
10836,Jianhua,Leivant,Senior Staff
10844,Dipayan,Koprowski,Engineer
10846,Tokuyasu,Serre,Senior Engineer
10847,Theirry,Danley,Staff
10848,Fen,Bratsberg,Senior Engineer
10849,Makato,Mayerwieser,Engineer
10854,Jagoda,Nannarelli,Engineer
10858,Kenroku,Gonthier,Senior Engineer
10867,Billur,Gyorkos,Engineer
10871,Aram,Gilg,Staff
10872,Karoline,Speel,Staff
10873,Sukumar,Wegerle,Staff
10876,Vincent,Papastamatiou,Staff
10878,Lakshmi,Deville,Staff
10879,Muzhong,Chleq,Senior Engineer
10882,Fun,Heuser,Engineer
10883,Shimshon,Champarnaud,Engineer
10885,Rayond,Cronau,Senior Staff
10887,Lunjin,DeMori,Senior Engineer
10895,Vishwani,Petersohn,Staff
10900,Ferdinand,Prenel,Senior Engineer
10906,Munehiro,Carrere,Staff
10909,Georgi,Atchley,Senior Engineer
10912,Oscal,Fasbender,Staff
10913,Narain,Thummel,Staff
10918,Susumu,Reghbati,Staff
10920,Ronghao,Narahara,Staff
10921,Mara,Bahi,Senior Engineer
10922,Kyoichi,Wossner,Staff
10924,Hironoby,Atchley,Staff
10926,Leni,Eppinger,Senior Engineer
10927,Gal,Scallan,Staff
10930,Arch,Minakawa,Senior Engineer
10932,Avishai,Picci,Senior Engineer
10936,Mountaz,Schicker,Staff
10940,Aleksander,Fioravanti,Engineer
10942,Toshimitsu,Larfeldt,Engineer
10943,Berna,Skafidas,Senior Engineer
10944,Remko,Zyda,Senior Engineer
10947,Gor,Usery,Staff
10948,Shigehito,Brodie,Senior Engineer
10949,Shigeichiro,Wroclawski,Staff
10956,Arno,Picel,Engineer
10965,Eckart,Braunschweig,Senior Staff
10969,Premal,Noriega,Senior Engineer
10971,Isamu,Vadhan,Technique Leader
10974,Muneo,Papsdorf,Senior Engineer
10985,Chiradeep,Furedi,Engineer
10986,Masako,Schiper,Technique Leader
10987,Flemming,Baezner,Engineer
10988,Chinya,Deyuan,Senior Engineer
10989,Sumali,Candan,Staff
10990,Shin,Foote,Technique Leader
10996,Matk,Rahimi,Staff
11002,Bluma,Ulupinar,Senior Staff
11004,JoAnna,Decleir,Senior Engineer
11009,Alper,Axelband,Staff
11012,Taegyun,Speckmann,Staff
11019,Leon,Huttel,Senior Engineer
11021,Srinidhi,Henders,Staff
11024,Manton,Collavizza,Staff
11027,Remzi,Cappello,Senior Engineer
11028,Miyeon,Krider,Senior Engineer
11031,Ottavia,Walstra,Staff
11032,Erez,Schaaf,Staff
11037,Lansing,Maliniak,Senior Engineer
11038,Jinya,Beidas,Staff
11042,Gou,Breugel,Senior Engineer
11048,Jaques,Demke,Senior Staff
11050,Elvis,Katiyar,Staff
11051,Przemyslawa,Erol,Senior Engineer
11056,Palash,Speel,Staff
11060,Genevieve,Pokrovskii,Staff
11061,Pintsang,Erni,Staff
11064,Shawna,Vieri,Senior Engineer
11066,Shaz,Langford,Senior Staff
11070,Adib,Raney,Senior Engineer
11071,Kwan,Sigstam,Senior Engineer
11075,Karsten,Belinskaya,Senior Engineer
11077,Hideyuki,Merro,Senior Staff
11079,Piyush,Garigliano,Senior Engineer
11081,Barry,Boyle,Staff
11083,Shimshon,Ducloy,Staff
11084,Greger,Senzako,Senior Engineer
11085,Hailing,Thummel,Senior Engineer
11087,Changho,Jayawardene,Senior Engineer
11089,Conal,Henders,Senior Staff
11091,Souichi,Ramsay,Engineer
11092,Narain,Stamatiou,Staff
11098,Arnd,Covnot,Engineer
11100,Berna,Cochrane,Staff
11106,Aris,Iwayama,Senior Engineer
11110,Valeska,Birjandi,Staff
11111,Udi,Zastre,Assistant Engineer
11112,Boaz,Mukaidono,Staff
11113,Shahab,Peng,Staff
11114,Tse,Felcyn,Staff
11119,Ramzi,Luga,Engineer
11121,Vugranam,Kakkad,Senior Engineer
11130,Xinyu,Menhoudj,Senior Staff
11132,Kristin,Harnett,Senior Engineer
11133,Nalini,Azulay,Technique Leader
11134,Sachar,Rajcani,Senior Engineer
11137,Hugh,Luca,Engineer
11139,Bogdan,Homond,Staff
11143,Yongdong,Rosen,Engineer
11144,Carrsten,Heinisuo,Staff
11145,Jinxi,Baak,Engineer
11146,Ishfaq,Masand,Staff
11147,Ayonca,Nitsch,Engineer
11148,Zhanqiu,Botman,Staff
11156,Tomoyuki,Armand,Staff
11158,Masaki,Hagimont,Senior Engineer
11162,Kauko,Narlikar,Senior Engineer
11168,Shmuel,Tetzlaff,Staff
11170,Minghong,Cannard,Senior Engineer
11174,Akhilish,Milicia,Engineer
11177,Chrisa,dAstous,Senior Engineer
11180,Mitsuyuki,Bojadziev,Senior Engineer
11181,Hausi,Cullers,Engineer
11185,Aloys,Baezner,Staff
11186,Kshitij,Stasinski,Senior Engineer
11189,Dante,Bodoff,Senior Staff
11192,Apostol,Bahr,Engineer
11195,Masanao,Lovengreen,Senior Engineer
11197,Tadahiro,Fordan,Senior Staff
11201,Jouko,Masaki,Staff
11203,Sakthirel,Yetto,Staff
11204,Diederik,Covnot,Technique Leader
11206,Steen,Sury,Staff
11207,Saeed,Gips,Engineer
11208,Saniya,Valtorta,Technique Leader
11211,Yurij,Rissland,Senior Engineer
11213,Vugranam,Munoz,Technique Leader
11217,Kellie,Mawatari,Senior Engineer
11218,Kirk,Hemaspaandra,Technique Leader
11221,Alselm,Hammerschmidt,Engineer
11229,Gretta,Ramamoorthy,Senior Engineer
11232,Hidefumi,Crelier,Staff
11233,Sanjit,Waschkowski,Senior Engineer
11240,Kiam,Condotta,Engineer
11243,Udi,Desikan,Assistant Engineer
11249,Randi,Cyre,Engineer
11251,Bezalel,Chinal,Staff
11253,Koldo,Pokrovskii,Senior Engineer
11254,Danel,Rindone,Staff
11258,Aris,Maccarone,Staff
11266,Florina,Rohrbach,Senior Engineer
11267,Shaunak,Zaumen,Senior Engineer
11268,Aimee,Petersohn,Senior Engineer
11274,Masanao,Nicolson,Staff
11275,Hitomi,Eppinger,Senior Engineer
11288,Domenico,Eastman,Senior Staff
11289,Chuanti,Cherinka,Senior Engineer
11290,Visit,Dredge,Engineer
11291,Gino,Glowinski,Senior Engineer
11292,Souichi,Sichman,Senior Engineer
11294,Tru,Segond,Senior Engineer
11295,Abdelkader,Lanzelotte,Staff
11296,Hironobu,Kenevan,Senior Engineer
11297,Geraldo,Levergood,Engineer
11300,Lillian,Fontet,Engineer
11301,Mingzeng,Oxenboll,Staff
11302,Shem,Senzako,Staff
11315,Neven,Meriste,Staff
11317,Shigeaki,Hagimont,Staff
11319,Pranas,Marrakchi,Assistant Engineer
11320,Atilio,McAlpine,Staff
11322,Nathalie,Pocchiola,Senior Engineer
11324,Kauko,Billingsley,Senior Engineer
11325,Samphel,Rossi,Engineer
11326,Munenori,Plesums,Senior Engineer
11338,Kwangsub,Hanratty,Senior Staff
11339,Flemming,Massonet,Senior Engineer
11340,Aris,Bala,Senior Engineer
11343,Susanne,Erez,Senior Engineer
11347,Anneli,Jonsson,Senior Engineer
11349,Yurii,Hammerschmidt,Engineer
11360,Fen,Schach,Staff
11365,Toshimi,Shinomoto,Engineer
11372,Susanta,Vilarrasa,Senior Staff
11373,Yongmao,Keohane,Staff
11376,Valery,Suomi,Staff
11380,Kenroku,Pelc,Senior Engineer
11385,Shiv,Ullian,Engineer
11386,Alselm,Assaf,Senior Engineer
11387,Jordanka,Kalloufi,Engineer
11393,Junsik,Junot,Senior Engineer
11396,Anneke,Servieres,Engineer
11398,Oscar,Peir,Staff
11401,Huan,Merey,Staff
11404,Bedrich,Borovoy,Technique Leader
11406,Eberhardt,Gini,Staff
11410,Gro,Vendrig,Engineer
11414,Eishiro,Pearson,Staff
11415,Sanjiv,Anido,Engineer
11417,Anneli,Cyne,Technique Leader
11418,Satosi,Cooley,Senior Staff
11420,Tsutomu,Lalonde,Senior Staff
11421,Josyula,Msuda,Senior Engineer
11423,Guangming,Kopetz,Staff
11425,Renee,Crelier,Senior Engineer
11428,Remco,Reinhart,Engineer
11431,Youngkon,Picht,Staff
11441,Marlo,Aingworth,Senior Staff
11446,Naftali,Narahara,Senior Engineer
11449,Kotesh,Asser,Senior Engineer
11451,Eben,Rajaraman,Senior Engineer
11452,Shigehito,Luby,Staff
11459,Duke,Suomi,Staff
11460,Mana,Maraist,Senior Engineer
11461,Kish,Cronau,Senior Engineer
11468,Navin,Maksimenko,Staff
11469,Guttorm,Giaccio,Senior Engineer
11474,Gennady,Akazan,Engineer
11476,Manton,Yoshizawa,Staff
11477,Fox,Narahari,Engineer
11479,Shridhar,Pleszkun,Staff
11501,Karsten,Ranum,Staff
11503,Nathan,Picht,Senior Engineer
11506,Rance,Picel,Staff
11509,Aleksander,Feldhoffer,Senior Engineer
11513,Otmar,Mahnke,Staff
11515,Ulf,Basawa,Staff
11518,Jinxi,Oxman,Staff
11519,Halsur,Chinen,Senior Staff
11521,Eldridge,Eastman,Staff
11523,Yuguang,Pezzoli,Engineer
11524,Xiadong,Standera,Senior Engineer
11526,Tonny,Impagliazzo,Staff
11527,Alagu,Boyle,Staff
11528,Zito,Dolinsky,Technique Leader
11531,Radhika,Motley,Technique Leader
11533,Vitaly,Lorch,Technique Leader
11537,DAIDA,Pehl,Senior Staff
11540,Chanjung,Portugali,Senior Engineer
11554,Subhash,Taubenfeld,Staff
11555,Kotesh,Perfilyeva,Staff
11562,Rimli,Alencar,Engineer
11567,Teiji,Mitzlaff,Staff
11568,Martins,Fujisaki,Senior Engineer
11573,Pranas,Hutton,Senior Engineer
11575,Godehard,Plotkin,Engineer
11577,Mayumi,Deyuan,Senior Engineer
11578,Edwin,Rosti,Senior Engineer
11581,Patricio,Rosenbaum,Senior Engineer
11587,Shem,Zambonelli,Senior Engineer
11588,Kaijung,Panangaden,Senior Staff
11589,Gina,Plessier,Senior Engineer
11595,Takanari,Kamber,Senior Staff
11596,Yannik,Gunderson,Staff
11597,Yongdong,Talmon,Senior Engineer
11602,Somnath,Malabarba,Staff
11603,Herb,Swen,Staff
11606,Perry,Pepe,Staff
11607,Tomokazu,Foong,Engineer
11615,Shem,Isaak,Staff
11616,Zhilian,Brendel,Engineer
11624,Adil,Gammage,Senior Engineer
11628,Fan,Malinowski,Senior Engineer
11636,Fumitaka,Shiratori,Engineer
11640,Valeri,Coorg,Senior Engineer
11641,Chikako,Rothenberg,Senior Engineer
11644,Sanjit,Zaiane,Assistant Engineer
11646,Lobel,Rubsam,Engineer
11647,Magy,Nitsche,Senior Engineer
11649,Shen,Bernardinello,Technique Leader
11660,Gill,Stenning,Staff
11664,Oksana,Brizzi,Senior Staff
11667,Kristian,Marchegay,Staff
11673,Henk,Felder,Technique Leader
11676,Valeri,Ferriere,Engineer
11681,Fumitake,Benzmuller,Senior Engineer
11684,Oksana,Gide,Staff
11686,Nadjib,Srimani,Staff
11690,Domenick,Raczkowsky,Staff
11693,Hideo,Coorg,Senior Engineer
11696,Dante,Rothe,Staff
11705,Arve,Hofmeyr,Staff
11708,Chenye,Angot,Staff
11713,Danel,Heusch,Senior Engineer
11732,Sanjoy,Ranft,Senior Engineer
11733,Leszek,Sudbeck,Senior Engineer
11735,Amalendu,Picci,Staff
11736,Shugo,Uchoa,Senior Engineer
11737,Martina,Garnier,Assistant Engineer
11738,Tadahiro,Lichtman,Senior Engineer
11746,Koichi,Marrakchi,Staff
11747,Aksel,Kossowski,Staff
11748,Lihong,Massonet,Engineer
11751,Jiafu,Emiris,Staff
11755,Zhenbing,Karner,Staff
11756,Abdelwaheb,Vakili,Engineer
11763,Yuriy,Liesche,Engineer
11764,Sanjay,Anick,Senior Engineer
11765,Zorica,Junet,Staff
11769,Chandrasekaran,Lampe,Staff
11770,Arumugam,Jakobus,Senior Engineer
11772,Gaurav,Penz,Engineer
11774,Aron,Wroclawski,Engineer
11778,Dhritiman,Fontan,Senior Engineer
11779,Shunichi,Thombley,Staff
11791,Gal,Mamelak,Senior Engineer
11797,Chenxi,Thambidurai,Staff
11801,Tommaso,Dayang,Staff
11805,Rosine,Grandbois,Assistant Engineer
11807,Chriss,Binding,Technique Leader
11810,Amabile,Bhattacharjee,Senior Engineer
11811,Herb,Boissier,Staff
11813,Gita,Muhlberg,Staff
11814,Manohar,Shinomoto,Staff
11817,Niranjan,Markovitch,Staff
11821,Mary,Piazza,Senior Engineer
11822,Sastry,Madeira,Staff
11823,Weiyi,Iacovou,Senior Engineer
11829,Chaosheng,Pettis,Assistant Engineer
11832,Arto,Zlotek,Engineer
11836,Ortrud,Bakhtari,Senior Staff
11838,Taiji,Nitta,Staff
11841,Elvia,Bugrara,Staff
11842,Moto,Piazza,Staff
11844,Shawna,Demeyer,Senior Engineer
11846,Fai,Perly,Senior Engineer
11847,Tzvetan,Brandsma,Senior Engineer
11853,Zeljko,Kusakabe,Staff
11857,Divier,Farrag,Senior Staff
11862,Alejandra,Deville,Senior Engineer
11864,Pradeep,Kriebel,Staff
11868,Kwee,Demke,Engineer
11869,Fumino,Luca,Engineer
11871,Nalini,Sommen,Senior Engineer
11872,Cheong,Riexinger,Staff
11876,Leszek,Kobuchi,Senior Engineer
11877,Heng,Sudkamp,Senior Staff
11881,Arra,Staelin,Staff
11883,Nectarios,Bhattacharjee,Engineer
11888,Badri,Azulay,Staff
11894,Mitchel,Validov,Senior Engineer
11896,Shaunak,Benzmuller,Technique Leader
11897,Cordelia,Setlzner,Staff
11906,Hideo,Boguraev,Engineer
11911,Ashish,Mondadori,Senior Engineer
11915,Miomir,Mawatari,Senior Engineer
11917,Jiakeng,VanScheik,Engineer
11926,Leni,Felcyn,Engineer
11931,Gunilla,Chiodo,Staff
11933,Basil,Erman,Senior Engineer
11938,Aruna,Verspoor,Staff
11939,Chinhyun,Basart,Technique Leader
11940,Ult,Anido,Assistant Engineer
11944,Along,Aumann,Senior Engineer
11945,Limsoon,Marakhovsky,Staff
11948,Yahiko,Nergos,Senior Engineer
11949,Martijn,Harbusch,Technique Leader
11951,Bernt,Haumacher,Senior Engineer
11965,Arup,Morrey,Engineer
11972,Sibyl,Beausoleil,Senior Staff
11980,Yechezkel,Pews,Staff
11983,Jaana,Hedayat,Senior Engineer
11987,Vidya,Schaar,Staff
11988,Chinya,Chinin,Senior Engineer
11989,Erzsebet,Peltason,Technique Leader
11993,Marit,Dalphin,Senior Staff
11994,Sigeru,Fiebach,Staff
11997,Heon,Mawatari,Staff
12007,Marko,Dehkordi,Senior Engineer
12008,Frederique,Zykh,Engineer
12011,Zhilian,Coorg,Staff
12015,Kensei,Guenter,Staff
12021,Chikara,Rahimi,Senior Engineer
12023,Chuanyi,Eppinger,Technique Leader
12024,Mayumi,Lanzelotte,Staff
12025,Jaewoo,Heiserman,Staff
12028,Ingemar,Walstra,Senior Engineer
12030,Shuky,Cromarty,Staff
12033,Visit,Serot,Engineer
12034,Aemilian,Piazza,Staff
12036,Mads,Ratzlaff,Staff
12037,Arunas,Katzenelson,Staff
12040,Bluma,Kermarrec,Senior Staff
12043,Masaki,Lubachevsky,Staff
12044,Rance,Hemaspaandra,Senior Engineer
12047,Jordanka,Ligten,Assistant Engineer
12050,Yuchang,Tchuente,Engineer
12052,Masako,Khasidashvili,Technique Leader
12053,Yechezkel,Pelc,Senior Engineer
12054,Odysseas,Braccini,Staff
12055,Rutger,Kilgore,Staff
12060,Toshimi,Antonakopoulos,Technique Leader
12062,Margareta,Worfolk,Senior Staff
12063,Lein,Bale,Senior Engineer
12069,Ayonca,Burnard,Senior Engineer
12070,Ger,Shokrollahi,Technique Leader
12076,Karlis,Siprelle,Senior Staff
12077,Steve,Hutton,Senior Engineer
12080,Panayotis,Feinberg,Staff
12082,Xinan,Yamaashi,Staff
12087,Weijing,Jumpertz,Engineer
12089,Bilhanan,Socorro,Staff
12090,Shigenori,Angelopoulos,Engineer
12091,Lansing,Cunliffe,Senior Engineer
12092,Kauko,Unno,Senior Staff
12093,Evgueni,Oxenboll,Senior Engineer
12094,Weiru,Pearson,Senior Staff
12095,Fai,Smeets,Senior Engineer
12099,Nobuyoshi,Kuzuoka,Staff
12102,Aron,Erde,Staff
12103,Becky,Erie,Staff
12104,Dulce,Kohling,Senior Engineer
12112,Satyanarayana,Avouris,Staff
12114,Shiv,Rubsam,Staff
12122,Satoru,Krone,Senior Engineer
12123,Xiahua,Syrzycki,Staff
12125,Shounak,Erman,Engineer
12128,Yannik,Barreiro,Staff
12138,Takahito,Brender,Engineer
12140,Xudong,Paciorek,Senior Staff
12148,Hidde,Garigliano,Assistant Engineer
12149,Suebskul,Grandbois,Senior Staff
12159,Shem,Perly,Senior Engineer
12160,Aamer,Garrabrants,Senior Staff
12164,Muneo,Chachaty,Engineer
12165,Xiaobin,Maquelin,Senior Engineer
12168,Arnd,Salverda,Senior Staff
12172,Jianhua,Llado,Senior Staff
12173,Adel,Nanard,Senior Engineer
12174,Slavian,Plavsic,Senior Engineer
12183,Harngdar,Iisaku,Engineer
12186,Guther,Nooteboom,Staff
12190,Abdulah,Engberts,Senior Engineer
12191,Rosella,Bazzichi,Engineer
12192,Feiyu,Klyachko,Senior Engineer
12205,Sushant,Rossi,Senior Engineer
12206,Barton,Janetzko,Senior Engineer
12210,Vugranam,Ashish,Staff
12213,Kwangho,Brizzi,Staff
12216,Aloke,Mansanne,Engineer
12218,Yaghout,Strooper,Senior Engineer
12219,Junsik,Gadepally,Senior Staff
12221,Vincent,Melter,Senior Engineer
12222,Abdelwaheb,Holburn,Staff
12223,Niteen,Koyama,Senior Engineer
12230,Yuriy,Bellone,Engineer
12231,Nishit,Bharadwaj,Senior Engineer
12235,Honesty,Haumacher,Staff
12242,Satoru,Wolniewicz,Engineer
12247,Subbu,Penttonen,Technique Leader
12249,Eldridge,Sadowski,Senior Engineer
12250,Kerhong,Aloia,Senior Engineer
12254,Chaitali,Stafford,Engineer
12256,Guadalupe,Reghbati,Staff
12258,Kankanahalli,Eiter,Senior Engineer
12264,Mart,Pagter,Engineer
12269,Mohammed,Whitcomb,Senior Engineer
12270,Shakhar,Kornyak,Staff
12272,Behnaam,Grandbois,Staff
12273,Jaideep,Uehara,Staff
12274,Garnik,Papadias,Engineer
12276,Yongmin,Lenart,Senior Engineer
12281,Hisao,Langford,Senior Engineer
12282,Tadahiro,Delgrange,Engineer
12291,Masamitsu,Koyama,Staff
12298,Tetsurou,Rodham,Senior Engineer
12303,Godehard,Braccini,Senior Staff
12308,Mototsugu,Cronau,Staff
12311,Susanne,Lubachevsky,Senior Engineer
12312,Chenye,Velasco,Engineer
12316,Hyuncheol,Duclos,Engineer
12317,Weiyi,Crabtree,Staff
12327,DAIDA,Bruckman,Senior Engineer
12328,Atilio,Prampolini,Staff
12335,Arnould,Genin,Senior Staff
12338,Kagan,Besselaar,Staff
12339,Pranay,Czaja,Staff
